budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
640,structsplat_best_ssim010,SS best + SSIM 0.10,32.0,8,2,0.25,344,0.5683040618896484
640,structsplat_best_l1_only,SS best + L1 only,22.0,8,8,1.0,114.5,0.14475175738334656
640,structsplat_best_l1_only,SS best + L1 only,24.0,8,6,0.75,196.83333333333334,0.23576168219248453
640,structsplat_best_l1_only,SS best + L1 only,26.0,8,4,0.5,237.25,0.28896552324295044
640,structsplat_best_l1_only,SS best + L1 only,28.0,8,2,0.25,126.5,0.155836820602417
640,structsplat_best_l1_only,SS best + L1 only,30.0,8,2,0.25,246,0.29150354862213135
640,structsplat_best_l1_only,SS best + L1 only,32.0,8,2,0.25,399,0.4791673421859741
640,structsplat_best_charbonnier,SS best + Charbonnier,22.0,8,8,1.0,92,0.17706838250160217
640,structsplat_best_charbonnier,SS best + Charbonnier,24.0,8,8,1.0,230.875,0.39807406067848206
640,structsplat_best_charbonnier,SS best + Charbonnier,26.0,8,4,0.5,193,0.3513140082359314
640,structsplat_best_charbonnier,SS best + Charbonnier,28.0,8,2,0.25,107,0.19975030422210693
640,structsplat_best_charbonnier,SS best + Charbonnier,30.0,8,2,0.25,197,0.31863725185394287
640,structsplat_best_charbonnier,SS best + Charbonnier,32.0,8,2,0.25,341,0.5566608905792236
640,structsplat_best_tensor_loss,SS best + tensor loss,22.0,8,8,1.0,92.625,0.17728948593139648
640,structsplat_best_tensor_loss,SS best + tensor loss,24.0,8,8,1.0,228.875,0.39590057730674744
640,structsplat_best_tensor_loss,SS best + tensor loss,26.0,8,4,0.5,191.25,0.34134018421173096
640,structsplat_best_tensor_loss,SS best + tensor loss,28.0,8,2,0.25,106,0.20299577713012695
640,structsplat_best_tensor_loss,SS best + tensor loss,30.0,8,2,0.25,198.5,0.3431771993637085
640,structsplat_best_tensor_loss,SS best + tensor loss,32.0,8,2,0.25,339.5,0.5658115148544312
640,structsplat_best_color_final,SS best + final color solve,22.0,8,8,1.0,92.125,0.17035549879074097
640,structsplat_best_color_final,SS best + final color solve,24.0,8,7,0.875,197.28571428571428,0.34052627427237375
640,structsplat_best_color_final,SS best + final color solve,26.0,8,4,0.5,198.75,0.35283809900283813
640,structsplat_best_color_final,SS best + final color solve,28.0,8,2,0.25,107.5,0.1969982385635376
640,structsplat_best_color_final,SS best + final color solve,30.0,8,2,0.25,197,0.3336007595062256
640,structsplat_best_color_final,SS best + final color solve,32.0,8,2,0.25,323.5,0.5288879871368408
640,structsplat_best_relocate,SS best + split relocate,22.0,8,8,1.0,99.875,0.18848279118537903
640,structsplat_best_relocate,SS best + split relocate,24.0,8,7,0.875,208.14285714285714,0.37665622574942453
640,structsplat_best_relocate,SS best + split relocate,26.0,8,4,0.5,201.25,0.3725079894065857
640,structsplat_best_relocate,SS best + split relocate,28.0,8,2,0.25,114.5,0.21020770072937012
640,structsplat_best_relocate,SS best + split relocate,30.0,8,2,0.25,207.5,0.3781172037124634
640,structsplat_best_relocate,SS best + split relocate,32.0,8,2,0.25,364,0.6326072216033936
640,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,22.0,8,8,1.0,84.625,0.17016589641571045
640,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,24.0,8,8,1.0,159.375,0.28186652064323425
640,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,26.0,8,6,0.75,205,0.3737577597300212
640,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,28.0,8,4,0.5,227.25,0.4039754271507263
640,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,30.0,8,2,0.25,162.5,0.28806591033935547
640,structsplat_best_adaptive_1p5x,SS best + adaptive 1.5x cap,32.0,8,2,0.25,239.5,0.41332507133483887
640,gaussianimage_fixed_full,GaussianImage fixed,22.0,8,7,0.875,85.85714285714286,0.1583660330091204
640,gaussianimage_fixed_full,GaussianImage fixed,24.0,8,6,0.75,115,0.20549158255259195
640,gaussianimage_fixed_full,GaussianImage fixed,26.0,8,3,0.375,194.33333333333334,0.3385416666666667
640,gaussianimage_fixed_full,GaussianImage fixed,28.0,8,2,0.25,93,0.1584380865097046
640,gaussianimage_fixed_full,GaussianImage fixed,30.0,8,2,0.25,214,0.34876954555511475
640,gaussianimage_fixed_full,GaussianImage fixed,32.0,8,0,0.0,,
640,gaussianimage_plus_residual,GaussianImage++ residual,22.0,8,8,1.0,152.125,0.26782339811325073
640,gaussianimage_plus_residual,GaussianImage++ residual,24.0,8,6,0.75,214.66666666666666,0.3588496446609497
640,gaussianimage_plus_residual,GaussianImage++ residual,26.0,8,4,0.5,279.75,0.47137439250946045
640,gaussianimage_plus_residual,GaussianImage++ residual,28.0,8,2,0.25,193,0.31291699409484863
640,gaussianimage_plus_residual,GaussianImage++ residual,30.0,8,2,0.25,287,0.4706258773803711
640,gaussianimage_plus_residual,GaussianImage++ residual,32.0,8,2,0.25,444.5,0.7040948867797852
640,image_gs_residual,Image-GS residual,22.0,8,8,1.0,143,0.24089202284812927
640,image_gs_residual,Image-GS residual,24.0,8,7,0.875,243.71428571428572,0.40776470729282926
640,image_gs_residual,Image-GS residual,26.0,8,4,0.5,242,0.4041762351989746
640,image_gs_residual,Image-GS residual,28.0,8,2,0.25,147.5,0.24010825157165527
640,image_gs_residual,Image-GS residual,30.0,8,2,0.25,272.5,0.45508813858032227
640,image_gs_residual,Image-GS residual,32.0,8,2,0.25,388,0.6570698022842407
640,instant_gi_quadtree_fixed,Instant-GI quadtree,22.0,0,0,,,
640,instant_gi_quadtree_fixed,Instant-GI quadtree,24.0,0,0,,,
640,instant_gi_quadtree_fixed,Instant-GI quadtree,26.0,0,0,,,
640,instant_gi_quadtree_fixed,Instant-GI quadtree,28.0,0,0,,,
640,instant_gi_quadtree_fixed,Instant-GI quadtree,30.0,0,0,,,
640,instant_gi_quadtree_fixed,Instant-GI quadtree,32.0,0,0,,,
640,structsplat_onedge_residual,SS on-edge + residual,22.0,8,8,1.0,106.75,0.20064067840576172
640,structsplat_onedge_residual,SS on-edge + residual,24.0,8,8,1.0,252.875,0.4279155135154724
640,structsplat_onedge_residual,SS on-edge + residual,26.0,8,4,0.5,210.5,0.37397515773773193
640,structsplat_onedge_residual,SS on-edge + residual,28.0,8,2,0.25,120.5,0.20616424083709717
640,structsplat_onedge_residual,SS on-edge + residual,30.0,8,2,0.25,249.5,0.4257538318634033
640,structsplat_onedge_residual,SS on-edge + residual,32.0,8,2,0.25,392.5,0.6390559673309326
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,22.0,8,8,1.0,114.375,0.2140834927558899
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,24.0,8,7,0.875,233.71428571428572,0.4293593338557652
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,26.0,8,4,0.5,221.75,0.4232403635978699
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,28.0,8,2,0.25,134.5,0.2416527271270752
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,30.0,8,2,0.25,281,0.4857451915740967
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,32.0,8,2,0.25,425.5,0.7106789350509644
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,22.0,8,8,1.0,102.875,0.193832129240036
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,24.0,8,8,1.0,242.625,0.4107269048690796
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,26.0,8,4,0.5,203,0.36132675409317017
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,28.0,8,2,0.25,117,0.2036815881729126
