budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,28.0,4,2,0.5,162.5,0.6655691862106323
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,30.0,4,2,0.5,457.5,1.804540753364563
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,32.0,4,1,0.25,630,2.3193886280059814
5000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,35.0,4,1,0.25,1254,4.552940607070923
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,22.0,4,4,1.0,187.75,0.8464362621307373
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,24.0,4,3,0.75,67.33333333333333,0.3900312582651774
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,26.0,4,3,0.75,440,1.4702133337656658
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,28.0,4,2,0.5,202,0.8117458820343018
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,30.0,4,2,0.5,499.5,2.0579230785369873
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,32.0,4,1,0.25,644,2.2923989295959473
5000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,35.0,4,1,0.25,1303,4.715033531188965
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,22.0,4,4,1.0,248,0.8431817293167114
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,24.0,4,3,0.75,71.66666666666667,0.3644980589548747
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,26.0,4,2,0.5,44,0.22943627834320068
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,28.0,4,2,0.5,201,0.6644368171691895
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,30.0,4,2,0.5,625,1.9459723234176636
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,32.0,4,1,0.25,936,2.719085454940796
5000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,35.0,4,0,0.0,,
5000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,22.0,4,4,1.0,186.25,0.7787972688674927
5000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,24.0,4,3,0.75,68.66666666666667,0.3909289836883545
5000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,26.0,4,3,0.75,440.6666666666667,1.4301473299662273
5000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,28.0,4,2,0.5,202,0.810787558555603
5000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,30.0,4,2,0.5,483,1.9055036306381226
5000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,32.0,4,1,0.25,637,2.373551845550537
