image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,init_seconds_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,init_seconds_single,d_psnr,d_ms_ssim,d_edge_mae,d_auc_psnr,d_fit_seconds,d_total_seconds,d_iterations_run,d_init_seconds,arm
kodim13,5000,0,aniso_onedge,22.2919,0.88938,0.076161,20.255214299258583,5.729730844497681,6.561173439025879,1500,0.8314425945281982,22.4098,0.88515,0.071843,22.306260532661625,5.054528474807739,5.920515537261963,1500,0.8608808517456055,-0.11790000000000234,0.004229999999999956,0.004318000000000002,-2.051046233403042,0.6752023696899414,0.640657901763916,0,-0.029438257217407227,pyramid_frac10_cosine
kodim13,5000,0,quadtree_wse,22.2899,0.88831,0.076039,20.27003487783563,5.633034944534302,6.893338441848755,1500,1.2603034973144531,22.5342,0.8817,0.071954,22.362625232134125,4.793936014175415,6.148894786834717,1500,1.3512227535247805,-0.24429999999999907,0.006610000000000005,0.004084999999999991,-2.092590354298494,0.8390989303588867,0.7444436550140381,0,-0.09091925621032737,pyramid_frac10_cosine
kodim19,2000,0,aniso_onedge,27.1055,0.91593,0.046553,23.51193965825341,5.326894044876099,5.66156530380249,1500,0.3346712589263916,26.3971,0.91357,0.042944,27.00616674887649,5.33757209777832,5.678576707839966,1500,0.3358008861541748,0.708400000000001,0.0023600000000000287,0.003608999999999994,-3.4942270906230775,-0.01067805290222168,-0.017011404037475586,0,-0.0011296272277832031,pyramid_frac10_cosine
kodim19,2000,0,quadtree_wse,26.7253,0.91184,0.049417,23.466238221619587,5.147377252578735,5.797910928726196,1500,0.6505336761474609,27.3506,0.91544,0.040552,27.23501476532145,5.438495397567749,6.046844244003296,1500,0.6030752658843994,-0.6252999999999993,-0.0036000000000000476,0.008865000000000005,-3.768776543701861,-0.29111814498901367,-0.2489333152770996,0,0.04745841026306152,pyramid_frac10_cosine
kodim19,5000,0,aniso_onedge,30.1796,0.95613,0.030813,26.02533017197317,5.7148637771606445,6.620386362075806,1500,0.9055225849151612,30.045,0.95238,0.027299,29.83786584537295,6.12729287147522,7.164724349975586,1500,1.0310263633728027,0.13459999999999894,0.003750000000000031,0.0035139999999999998,-3.812535673399779,-0.4124290943145752,-0.5443379878997803,0,-0.1255037784576415,pyramid_frac10_cosine
kodim19,5000,0,quadtree_wse,30.074,0.95411,0.030903,26.109519695742595,5.303055047988892,6.544891834259033,1500,1.2418367862701416,30.2945,0.95355,0.026776,30.03922332422665,6.180785179138184,7.478650093078613,1500,1.2917628288269043,-0.2204999999999977,0.0005600000000000049,0.004126999999999999,-3.929703628484056,-0.877730131149292,-0.9337582588195801,0,-0.049926042556762695,pyramid_frac10_cosine
kodim01,2000,0,aniso_onedge,23.2652,0.87156,0.061855,22.569253759330092,9.352993488311768,9.735479354858398,3000,0.3824858665466308,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,0.3555405139923095,-0.4850999999999992,-0.0050200000000000244,0.0015449999999999978,-1.0367023844111216,4.058829069137573,3.5672709941864014,1500,0.02694535255432129,pyramid_fullfield_iters
kodim01,2000,0,quadtree_wse,23.1248,0.86638,0.062538,22.115888813091303,9.621405839920044,10.368601560592651,3000,0.7471957206726074,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,0.7285842895507812,-0.43079999999999785,-0.0040799999999999725,0.0020619999999999944,-1.5037239188677383,4.583075046539307,4.596362590789796,1500,0.018611431121826172,pyramid_fullfield_iters
kodim01,5000,0,aniso_onedge,25.54,0.93374,0.047322,24.35276061258701,9.73151993751526,10.595540285110474,3000,0.8640203475952148,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,0.8697187900543213,-0.026299999999999102,0.006500000000000061,0.0005350000000000008,-1.0762560096598541,5.08854651451111,5.079143285751343,1500,-0.005698442459106445,pyramid_fullfield_iters
kodim01,5000,0,quadtree_wse,25.491,0.93371,0.046989,24.4005987587751,10.279287815093994,11.719371557235718,3000,1.4400837421417236,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,1.6373190879821775,0.046700000000001296,0.007690000000000086,-0.00011899999999999411,-1.0946721566985005,5.526463508605957,5.325334548950195,1500,-0.19723534584045388,pyramid_fullfield_iters
